N1	See readers' New Year photos	How do you celebrate the evening?
N12556	Inger Sitter's life in pictures	Inger Sitter (1929-2015) was a well-known name in cultural life for a large part of her life and had a long and well-documented career.
N12557	The fuse went on the first day of commuter parking	The new commuter parking at Melhus skysstasjon got off to a rather bad start.
N12558	- Some kids go straight from watching children's TV to watching porn	"Some kids today go straight from watching children's TV to watching porn. They think reality is like on film, according to sexology counselors.
N12559	New on HBO in October	Gold digger drama in "Klondike," Frances McDormand as "Olive Kitteridge," documentary sensation "Ghosts of Abu Ghraib" and much, much more.
N12560	Join the retirees who run sawmills the old-fashioned way	In the middle of the thickest spruce forest in Storbudalen lies a sawmill that has not yet been overtaken by the digital age.
N12561	Teachers tried to put out the fire	Had to help the students off with their skates and get away.
N12562	Believes in one million members in new online fitness center	"Big words, little content," says the competitor.
N12563	- Not applicable for the top job in Coop Norway	Torbjørn Skei will stay in Trøndelag and Trondos.
N12564	Removing master's degree from CV - will not appear overqualified	Immigrants who do not get a job often choose to continue their studies. Thus, they end up overqualified.
N12565	BI students will earn well	The financial crisis hit hard and brutally in 2008. How does this affect the faith in the future among today's business students? Very little, if we are to believe the canteen chat at BI Trondheim.
N12566	That's why this special ship was docked in Trondheim	"Edda Freya" loomed where she was docked at Ila Pir.
N12567	Fears of development in Gaula	There is reason to warn against encroachment on what remains of the untouched watercourses.
N12568	This is how the Trønders celebrate the scary evening	Share your Halloween photos with adressa.no.
N12569	Hope for hanging houses	The owners had to move when the sheriff evacuated the home in 2009, now the neighbor will try to save the house in Melhus.
N12570	Solved accidents with dash camera images	Disputed equipment can provide police with important evidence in traffic cases. The cameras can also obstruct visibility and create dangerous situations on the roads, according to NAF.
N12571	Norwegian bicycle lift hailed as one of the world's coolest means of transport	Trondheim's bicycle lift included in the new award.
N12572	- Closing Klostergata to spare the residents	By closing Klostergata to car traffic during major events in Trondheim Spektrum, you take into account people who live in the area.
N12573	Rap duo Trøndersk champions	Steinkjer duo Skei & PT were shocked when they won the Trøndersk championship in pop and rock this weekend.
N12574	16-year-old charged with rape of developmentally disabled	A 16-year-old boy is charged with rape of a mentally disabled woman at an institution in Trondheim.
N12575	Has the nursery made the tallest gingerbread house of the year?	Leangen Cultural Kindergarten has created Tyholttårnet.
N12576	Trondheim developer charged with gross fraud	Two of Trondheim's most high-profile property developers are charged with gross fraud of several tens of millions of kroner.
N12577	Jacob's son got this message on Facebook	Two days after his father was assaulted outside his own home, Nathaniel received a racist message on Facebook.
N12578	Bjørnson and Augusta from Oppdal	1853: A group of young people on a trip to the top of Almannberget. One of them was 18 years old and his name was Augusta Mjøen. Another was 20 and named Bjørnstjerne Bjørnson
N12579	17 lose their jobs at Scandic Lerkendal	The hotel lays off 17 out of 75 employees six months after opening.
N12580	How Swedes make great ski slopes in the mild weather	While Östersund beckons with kilometer-long slopes, skiers in Trondheim have to share a short snow loop with kindergarteners and pensioners.
N12581	Svein Otto Nilsen: Rita pushes jobs to neighbouring municipalities	The case is updated. Isfjord Norway signed an agreement for a new industrial building in Orkanger and is moving out about 100 jobs from Trondheim. This was stated in Address
N12582	This was probably what a nine-year-old with a photocopier did.	Suspicion of counterfeiting spread during Rørvikdagan when the nine-year-old wanted to play shop.
N12583	Nightclubs get refs for surveillance	The Norwegian Data Protection Authority is now speaking out against what they believe is unnecessary surveillance at several nightclubs in the major cities.
N12584	Norwegian humour has become raw and brutal	Norwegian cultural figures disagree about the development of Norwegian humour.
N12585	Large, downtown 2-r freehold - Permanent place in parking basement - No joint debt - Brand new - Move-in October. Close to the city center, St. Olav and NTNU - BoligGuiden - adressa.no	Very nice apartment with very good location in the field, ground floor with direct access to south-facing terrace of 12.4 m2. Good view of the area. Leiligh...
N12586	Andreas, 38, was depressed and slept poorly. One app changed everything.	"I just wanted to cry, but the app got me out," says Andreas Geocacher Hesselberg.
N12587	Maria invites lonely children to a Halloween party	Maria Rønning has experienced being lonely as a child. Now she wants to make sure that all children in Trondheim are invited to a Halloween celebration.
N12588	Jasmine (10) attacked by pike	Ten-year-old Jasmin Eide was bitten by a voracious pike while swimming at Haukvannet in Trondheim.
N12589	Over 50,000 Norwegians receive unnecessary antibiotics	Figures from St. Olav's Hospital in Trondheim show that between 50,000 and 75,000 Norwegians receive antibiotics unnecessarily for bronchitis every year.
N12590	Golden freedom pop	"When I heard the demos, I got goosebumps," says Nikolai Hængsle Eilertsen. This is how the collaboration with Nina Mortvedt began, and as Band of Gold they have given us one of the best Norwegian pop albums of the year.
N12591	Found the man in the cemetery	Dærsken, time flies," she says. It's been twelve years since she met her husband in the cemetery.
N12592	Ben lost half his thumb when his friend's dog bit him	"You can just forget to sit with me," the taxi driver who came to pick him up said.
N12593	Smith's Friends change their name	Stokke (NTB): The Christian Church, also called Smith's Friends, changes its name. The new name is Brunstad Christian Church.
N12594	Funkis in Trondheim (2)	Functionalism in Trondheim.
N12595	Inmates manage scam companies	Through a well-developed network, criminals create fictitious enterprises while they are incarcerating and serving sentences. Through the companies, they engage in extensive fraud activities.
N12596	New series: #ælske Trøndelag/- Culture shock to return to Trøndelag	After being environmentally damaged in Bergen, where things are either sickly good or shit bad (and there is not much between the two), it was an ever so slight culture shock to come to Trøndelag where most things are simply fine.
N12597	This cost the police in Sør-Trøndelag NOK 1.7 million	The increased terrorist preparedness in Sør-Trøndelag this summer was costly.
N12598	Investigated fake user reviews in Norwegian online stores	All 26 controlled are packed.
N12599	Wok Away The Prince Has Closed His Doors	Did not reach agreement on a new rent agreement. But entrepreneur Christopher Gulliksen from Trondheim is not giving up on Wok Away.
N12600	Dream yard	Selbutunet and its own farmyard. Iris Martinsen and Eivind Aune have turned both into their own dream yards.
N12601	Polaris Media cuts NOK 300 million	The media group's revenues have declined and Polaris is tightening sharply towards 2020.
N12602	Forbidden to throw this into nature	This year, as last year, the cleaning company is organising a garden waste campaign. Here, most of the garden waste can be delivered, but not blacklisted plant species.
N12603	Man (46) from Selbu died in collision with tank	It was 46-year-old Idar Jarle Trondseth who died in the accident with a tank in Snåsa.
N12604	Mysterious light observed	Several people have observed a suspicious light in the sky at around 8.45pm on Sunday night.
N12605	Questioning witnesses after a major fire	The police started early this morning with questioning of witnesses to the fire in Søndre gate. So far, the police or fire department have no idea what is causing the fire.
N12606	Old jazz guitar still holds	Traditional, mainstream jazz is losing ground at Norwegian jazz festivals. When one hears Pat Martino, one wonders why.
N12607	Sceptical about large school at Saupstad	Kolstad, Saupstad and Huseby schools can be gathered under one roof.
N12608	The best cuts superbly without you having to take in	Three of the 14 pruning axes in our test are good enough for a six on the dice.
N12609	"The patients in Trondheim are not doing well at all"	"The patients, the elderly people in need of help in Trondheim municipality, are not doing well at all," writes nurse Anne Merete Hage.
N12610	My Football Team VII	Adresseavisen presents through "My football team" 133 teams from age-specific classes in football in Mid-Norway. Check if you can find your team or players you know.
N12611	Man robbed pharmacy in Verdal	Police have control of a man who threatened to take prescription medication.
N12612	- The Lyng family wants to sell out	Got into a fight over resorts in Spain.
N12613	Bottom price at the bottom in customer survey	The grocery chain from Trondheim is least popular in BI Norwegian Business School's survey of 9,000 consumers.
N12614	Pattern explosion at Ikea	Africa, Asia and South America dominate the news in the Ikea catalogue 2013.
N12615	- I quit smoking and got fat	Therese Falk became the marathon queen of Trondheim.
N12616	- No one realized anything when the scaffolding went to the ground	Contractor Aasen bygg checked the weather forecast before the weekend. There was no extreme wind to come.
N12617	Hit and killed by Russian bus	The 21-year-old from Bærum was hit by the Russian bus at 00.59 on Sunday night, at Holmenskjæret in Asker.
N12618	Heather heirs sue Gran Canaria partner	Bjørn Lyng's heirs have sued a Spanish partner for million-dollar fraud.
N12619	Can escape punishment	Norway is the only country in Europe where a person can carry out heinous crimes without being convicted.
N12620	Forced to close nine fish landing facilities	Nine fish landing facilities in Trøndelag are closing their doors due to a decline in sales. The fishermen are left without delivery options.
N12621	Dunder, snuff and seedy sluts	"What you're laughing at today is a child's fear of death," Eddie Meduza joked. Now a book has been written about the man behind the outrageous texts in the book "Bara man é fantastic" by Börge Lundgren.
N12622	The girl in the yellow sweater	Adressa journalist Åge Winge lived three days with Syrian refugees. Here's the story of the escape - and a girl in a yellow sweater.
N12623	Never leave your dog and baby alone	These are the signals that the dog will be left alone.
N12624	Billion-dollar sales called off	KLP withdraws from the acquisition of Lade Arena.
N12625	What you should eat the day before Birken	How are you going to eat your way up to the ultimate Birken shape? Get the best Birken tips from expert and cyclist Lars Ragnar Manengen.
N12626	Survived drama in Vassfjellet	Miraculously, biology student Sveinung Svendsen (24) from Alta yesterday morning survived a free fall of 30-50 meters in Vassfjellet. Finnmarkingen himself triggered a landslide that brought him off the cliff one and a half kilometers north of the ski resort. "I was sure I was going to die," he says from his hospital bed.
N12627	- Gym doesn't have to be snappy	Play in physical education classes can trim both brain and body, and the activities should include everyone.
N12628	3-bedroom end apartment in attractive Rådhusvegen - Good floor plan - West facing balcony - View - Sunny - BoligGuiden - adressa.no	Heimdal Eiendomsmegling has the pleasure of presenting a spacious 3-bedroom freehold apartment in Melhus center. Rådhusvegen is a very attractive residential area, with elevator and parking boiler...
N12629	Penga and life	Intense, well-knit portrayal of the NOKAS robbery.
N12630	Debutante from Meldal beat out the veterans in fitness	"It's unusual for a debutante to come and beat out the women who have been involved in this for years," he said.
N12631	Radmann must go to court	Today, businessman Finn Radmann (67) must take a seat on the prosecution bench in Trondheim District Court.
N12632	This wagon train was just going into the gas station...	The trip to the gas station in Rindal was not only easy.
N12633	- I Miss My Friends	Mariam al-Najjar from Melhus is locked up in the Gaza Strip.
N12634	Around 300 Rema merchants delayed to Las Vegas	The flight was cancelled due to technical problems.
N12635	Bjørgen jumpstarts and brings along a new mom to	Two new cross-country moms are making a comeback at the same time.
N12636	This is how the training will be fun for the children	Here you will find tips for activities that make training even more enjoyable.
N12637	Ready for The Magic Flute	On 2 and 3 August, The Magic Flute opens Opera Week in Stjørdal. The cast is clear.
N12638	Soft drink test: Some are pure sugar bombs	Concerned about how much sugar you consume?
N12639	Taking Domen seriously	The stage is set for a historic concert when Motorpsycho fills Nidaros Cathedral with psychedelic rock.
N12640	- Remove the tick quickly!	These are the vet's best tips against ticks
N12641	Byåsen took action	Byåsen took action when the club saw that self-recruitment was failing. Now the change of course is starting to yield results.
N12642	These are the ten best Blæst concerts	"A scene with a wow factor," says the former booking manager.
N12643	"We can't shut the wolf out of Middle Norway	Naturvernforbundet reacts to the fact that two wolves can be hunted in the Middle Norway this winter.
N12644	The nurse who uses a surgeon's knife	She is the country's first and only nurse with the right to operate. Maryann Nesset Stenvik handles scissors and scalpel with a steady hand at St. Elisabeth Hospital in Trondheim.
N12645	Warm welcome	Acrobatics in Nidaros Cathedral and desert rock in Borggården.
N12646	Successful blowout for Motorpsycho	The concert in Nidaros Cathedral exceeded all expectations for the rock heroes.
N12647	The Government wants to remove the so-called "duste ban"	Licorice pipes may again become visible in Norwegian stores – three years after the Progress Party wanted to remove the so-called "duste ban".
N12648	Express boat terminal to be improved after complaint storm	But the Trondheimsfjorden commuter association believes that the situation could have been avoided if Sør-Trøndelag County Council had been more responsive.
N12649	Convicted of setting fire to ex-partner's car	A man in his 30s has been sentenced to 21 days in prison and must pay Gjensidige NOK 13,692 after setting fire to his ex-partner's car.
N12650	They're a bit nasty – but important to nature	Amphibians and reptiles are parts of our wildlife that many of us know little about. Both animal groups nevertheless play important roles in nature. Now you can read more about them in a booklet that the Science Museum is behind.
N12651	Simply amazing	Experiencing Norway's foremost indie rockers in collaboration with Ståle Storløkken in Nidaros Cathedral was just as magical as I had hoped beforehand. What an experience!
N12652	Kristian (14) remembers online	Hundreds have visited and written on the page created over the weekend.
N12653	More people had to go home without having booked a passport today	Technical problems with passport machines at Sentrum police station in Trondheim.
N12654	Norwegian passenger record	Almost 26 million passengers flew with Norwegian in 2015.
N12655	All-out price war on gasoline	Challenges oil companies to price wars with unmanned gas stations.
N12656	- The End Becomes Bittersweet	George R.R. Martin reveals how "Game of Thrones" ends.
N12657	Ferry trouble between Flakk and Rørvik	The ferry between Flakk and Rørvik was cancelled due to weather conditions.
N12658	Oslo gets two kindergarten admissions a year	The Labor Party, the Socialist Left Party and the Green Party have agreed that Oslo should have two kindergarten admissions a year and night-open kindergartens.
N12659	Out stealing bikes in September	The cyclical thieves in Trondheim are most active in May and the coming month - September.
N12660	Five are vying to become chief of police in Trøndelag	After the application deadline for applying for the position of police chief in the new Trøndelag police district was extended by one month, one of the applicants has withdrawn, a woman who was exempt from public disclosure.
N12661	Nedreberg becomes a board member of the NFI	Adresseavisen's CEO will sit on the board of the Norwegian Film Institute for the next four years.
N12662	17-year-old Stian suffered acute heart failure	17-year-old Stian Gullaksen and his family thought he had contracted a common cold.
N12663	At sea to trawl gold	OSEN: In a few weeks, the deep-sea fishing boat "Rav" will take a Christmas holiday and return to the port of Sandviksberget for the first time in a year. The Hepsø shipping company has trawled the sea for NOK 44 million.
N12664	Magnes Furuholmen's father died a tragic accident - Morten Harket was an early eyewitness	Trumpeter Kåre Furholmen died when his son Magne was six and a half years old. Now Bent Sølve's orchestra's tragic end has become part of Rockheim's 60s department.
N12665	Imprisoned leader took out millions from Trondheim company	The two managers of the catalogue company Nummeropplysninga AS are both suspected of gross fraud and gross embezzlement. A total of ten people have been charged in the case.
N12666	- Stone, hoe toillat	"The semi-trailer ran on summer tyres and I agreed with the police to plow it in," says Magne Olderøien at Tiller in Trondheim.
N12667	Here you will find Trondheim's cheapest small candy	Full-blown price war over what will fill the Easter egg.
N12668	I've never felt more invisible and worthless	How we treat cleaners is a sore toe in our society.
N12669	Old Trondheim online	Internet-based archives of old images from Trondheim will be easily accessible to the public through a common web portal.
N12670	Construction work causes major dust problems at Lilleby	The construction of apartments at Lilleby has in recent weeks led to major dust problems at Lilleby. "It's absolutely terrible," resident Kate Johnson said.
N12671	Parking app results in fewer fines	The fact that more people pay for parking with their mobile phones means 20 per cent fewer parking fines in Trondheim.
N12672	Levanger becomes teacher capital of new university	When Nordland and Nord-Trøndelag probably get a new university from new year, Levanger will be the headquarters for teacher education.
N12673	There is one good reason in particular to replace bread with crispbread	If you replace the bread with these, you can easily lose a few kilos in weight.
N12674	These ladies are at work	Yngvar Andersen's dream is to make exercise during working hours mandatory.
N12675	- Probably had a plane standing, and left right away	The friends of the murdered Norwegian student Martine Vik Magnussen (23), believe the 26-year-old man wanted in the case has fled the country.
N12676	Early safe in Trondheim on safe ground	In Trondheim, the country's largest and worldwide one of the most thorough studies of preschool children's social and emotional development is now taking place.
N12677	A better life? Here are ten pieces of advice for young people	I have the very best job in the whole world. I'm a middle school teacher. I go to work every single day, grateful that I get to spend time with you.
N12678	Withdrawing for Listhaug	County leader Frank Sve resigns from the nomination in Møre og Romsdal Frp. Everything is thus ready for Sylvi Listhaug's candidacy.
N12679	Concerned about gift pressure among confirmations	Private economists ask confirmations to be careful about how they talk about the donation.
N12680	- Yoga for everyone who exercises	Yoga is an oxymoron: demanding physical exercises that provide energy and feel relaxing.
N12681	Don't trust your gut feeling when hiring people	If good tests are not used in the selection process, it is up to chance whether the appointment is successful.
N12682	Surprising cod catch	That cod is voracious dares to be a well-known fact. But hobby fisherman Bjørn Frilund (64) did not believe what he saw when he opened the belly of the fish he had caught in the net in Romsdal last Monday.
N12683	Awards the city's most beautiful Christmas exhibition	Who creates the most Christmas spirit?
N12684	Valla siblings reached the peak of power	Here goes the Valla siblings who govern and have controlled two of the country's most important bastions of power, the Norwegian Confederation of Trade Unions (LO) and the Norwegian Farmers' Union. Gerd-Liv and Nils Valla grew up together at Oppigården in Hemnes municipality.
N12685	Check out how the architect's kitchen turned out in the end	A five-metre-long kitchen counter in solid maple wood fills the entire wall at architect Arne Eggen's home.
N12686	The Ramp scholarship took them out into Europe	With the Ramp scholarship, Soup was able to embark on a European tour. Now bands and artists can sign up for their songs to compete for the scholarship in this year's Bandwagon award.
N12687	Barn party in Melhus	Swing courses, barn dance, chamber concert, free camping and a separate version of Da Capo are among the activities that make up "the world's nicest barn festival".
N12688	Splicing teams can save corps	A joint venture between several ministries is being launched as a solution to save the Air Force Band in Trondheim. But even the corps' supporters in Parliament are unsure whether it is possible to reverse the government's cuts plans.
N12689	The neurocentre came out on top	The neurosurgeons moved from a disused hair salon in the basement of the high-rise building to 60 sqm operating theatres with the very latest in high-tech equipment.
N12690	Will we fewest te Mexico?	No will æ færra te Mexico, Færra på tur te Mexico, Der ska æ kvil i sola, and try to get on the right keel, now e the dot finale, you get to try buttering on your slice of bread yourself!
N12691	Have you bought Christmas cake?	Juleneket has from ancient times had a central place in the Nordic Christmas celebrations. But what exactly is the starting point and purpose of this custom?
N12692	Esten met the wolf at Lundamo	The 14-year-old thought that either the wolf stings or it attacks.
N12693	Defrauded the Armed Forces, Nav, Norwegian, Dolly Dimples, the neighbor woman and landlord	"I'm a pretty smart guy," said the man sentenced to two years and three months in prison.
N12694	Traffic accident at Nidarvoll	Collision between passenger car and cyclist.
N12695	The goal close after 13 years	For thirteen years, the stjørdalingen Arvid Vikan has been steadily working on the restoration of his old car. Now he's on the home stretch. First test drive this year, finished car next year.
N12696	- I set the bar sky high and let it burst or carry	"I set the bar sky high and let it burst or bear," says Trond Vardehaug from Trondheim, who with six different cookies made it to the final of the Cake War at Fem.
N12697	After exercising at least five hours a day over an extended period of time, Helene's (15) body said stop	Helene Ellingsen Reimers (15) wanted more, but her body said no.
N12698	Tobb changes name	The Trondheim company has grown too big for the old name.
N12699	ØVRE MØLLENBERG - Modern and newly renovated 5-bedroom freehold apartment over 2 levels. Kitchen TG0. Wood burning. - BoligGuiden - adressa.no	Primary room: 1st floor: Hallway, bathroom, 3 bedrooms and Kitchen/living room. Basement: Basement living room and bedroom.
N12700	- Find a whimsical person on the street or a red top hat passing by	Hanne from Trondheim is Norway's best mobile photographer, and gives you her tips.
N12701	- Strong memorial ceremony	"It made a very strong impression when they read all the names of the victims and the pictures rolled across the screen," says Knut Gravråk, who survived the Utøya massacre.
N12702	SINTEF researcher invests in Arctic whisky	With a whisky distillery, Trondheim man Roar Larsen wants to create new life in the small island community of Myken on the Nordland coast.
N12703	Tennis: Cezar Johansson won the Norwegian Championship gold medal	Stavanger (NTB): Home hope Cezar Johansson won the king's trophies when Norway's tennis elite gathered for the Norwegian Championships in Stavanger.
N12704	- An important part of Trondheim is replaced by circus and horror	Cultural people in Trondheim are angered that Heidi's Bier Bar is moving into Solsiden.
N12705	The coup blue gnomes from Røros	The landscape around "Christmas in Blåfjell" on NRK belongs to winterbeautiful Røros. But now Gålå in Gudbrandsdalen has snatched the blue gnomes from Røros, and can market itself as the official Blåfjell village.
N12706	Donut stall went straight to the top	See who was named Rørosmartnan's best exhibitors.
N12707	Now the government wants to arrange the E6 in Soknedal	After many years of tug-of-war, the government is planning for the excavators to embark on a new E6 between Vindåsliene-Korporal's bridge next year.
N12708	Dozens of girls in Trøndelag abused on websites	The police in Malvik are investigating a case where several hundred pictures of girls from Trøndelag have been posted on a website.
N12709	Talking out loud on the phone? These will do something about it	The founders of Voico want you to be able to talk on the phone without colleagues getting annoyed and knowing what to have for dinner.
N12710	Eivind Rølles has passed away	The Monroes guitarist Eivind Rølles (54) died on Monday night after a long period of cancer, the family said.
N12711	Repentant drivers had to stand trial	On Sunday, they razed ski tracks in Bymarka. Now they are being prosecuted and have to pay.
N12712	- Don't need floor plans of the schools	But the police have closed many of the gaps in preparedness in relation to school attacks.
N12713	Twelve poisoned horses have been euthanized	Trotting coach Magne Olsen in Trondheim is sure that even more horses will have to be euthanized after narasin poisoning.
N12714	Preschool teacher in hell	FILM: Well-twisted Danish shake-up about witch hunts and assault charges, inspired by the Bjugn case. Mads Mikkelsen at his best, as a vulnerable employee in kindergarten.
N12715	Is a lesbian - thrown off the bus	Lesbian Gry Kristine Rønne (18) reacts to a bus driver scolding lesbians and calling them despicable. Her friend "Pia" says she was asked to leave the bus because she was a lesbian. Now the gay organizations in Trondheim have taken action.
N12716	- This is a Young Male Wolf	At 04:00 on Monday morning, the wolf, which has been hiking in Agdenes, was shot.
N12717	Fatal accident on the E6 in Nordland	One person has died in a head-on collision on the E6 at Rognan in Nordland. A passenger car collided with a heavy goods vehicle.
N12718	- Buy the glitter at a hobby shop and mix it with some hair gel	Now your hair will sparkle with the Christmas tree.
N12719	Avoided bankruptcy, earned 1.4 million	But Idar Vollvik's company still has close to NOK 100 million in debt.
N12720	The World's Most Popular for the Week	Major Lazer, the group behind the world's most popular song right now, is coming to The Week.
N12721	What are the characteristics of effective ads?	The headline of the ad is most important Use active words that get the reader to act ("Take the trip today" - "Read more")
N12722	Fill the house with cardboard	Baby cradle or a moose on the wall. It is possible to choose both, and more, in the material cardboard.
N12723	Do you have an old student hat to give away?	Trondhjem's student singing association goes to Estonia and needs hats for the tuxedo.
N12724	How to check the tax of the neighbor	It may be the last time you satisfy your curiosity.
N12725	Many people sit on the streets normally. Here they get housing in Trondheim	The Red Cross is noticing a high demand for emergency accommodation.
N12726	A huge problem in Trondheim	40 pedestrian crossings in Trondheim must be improved. Professional drivers in Trondheim believe that road lighting is under criticism.
N12727	Siri ferment	Casual and relaxed: Singer Siri Gjære is concerned that it should be good to sit. In her home you will find an old armchair that constantly spits out new money, a sack chair that you have to roll out of and ten dining room chairs that she has couped from a friend's mother.
N12728	Playing around with technology	Through play, children can acquire knowledge in advanced technology. It is the mindset that underlies the new centre at Steindal School.
N12729	Cunning robot drama	Swedish Alicia Vikander is brilliant as an intelligent robot in stylish British sci-fi drama.
N12730	- Doesn't look like there's life	Analyst John A. Olaisen is afraid EMGS will not be able to survive as a company.
N12731	Would think it was Tore Strømøy who had written the script for Snowfall	The good children's stories must be both dark and unpleasant. But is it still allowed to come up with a tiny yawn when so many of them seem to have been written by the "Tore på spor" editors?
N12732	450 tons straight into the ground	Watch the spectacular video from the windmill demolition in Nærøy.
N12733	Is Google Pixel better than Iphone? We have tested	Google is out with its first self-made phone. How good is it, and what about Huawei's new top model? We've tried both.
N12734	City trip at Christmas?	Fancy a trip out on the town after Christmas ribs?
N12735	Kristian Kristensen is the Untouched of the Year	He was arguably both the crowd's and the judge's big favorite tonight.
N12736	Molde duo selected for the national team: Talent likely to make debut	Everything is set for 19-year-old Ottar Magnus Karlsson to get his first cap for Iceland.
N12737	Julie sat here a few minutes before the storm razed the pavilion	Julie Sletvold (20) from Skjelstadmarka in Stjørdal was terrified when the "tornado" caused broken cars, razed pavilion and Donald bullet in dad's head.
N12738	"It was extremely tough and demanding.	Few have experienced such major ups and downs as Per Ottesen. "I don't want anyone to get into a situation like this," he says of the power struggle before the FIS Nordic World Ski Championships in Trondheim.
N12739	These are the salvation for thirsty students	For thirsty and exhausted students, the volunteers in the buddy guard scheme have become a dear sight during the buddy week in Trondheim.
N12740	"I am deeply shocked.	Sør-Trøndelag Training Director Inger Christiansen has never experienced such violent episodes in her career.
N12741	Awaiting attack on the yellow jersey	A reduced Sky crew will have a tough time defending Chris Froome's yellow jersey on Sunday.
N12742	Crown Prince Haakon welcomed you to the royal outdoor cinema	Oslo: Thousands of people braved the rain showers Wednesday night to watch Erik Poppe's new feature film "The King's No" with the royal family in the Palace Park.
N12743	Equicez raged from the stage	The manager of the successful hip-hop group Equicez verbally attacked the Trondheim gang Blow Up Productions during this weekend's Norwegian Hip Hop Awards in Samfundet.
N12744	Deer wolverine hunting	The state spends considerable resources on extracting wolverine puppies from dens and shooting wolverines from helicopters.
N12745	Unhealthy body ideal	The case is updated. I am constantly surprised and shocked by what is published in the media. Now, I don't think about general news like war and politics. I think
N12746	Sv wants to go on rails	Trondheim SV's important task ahead of the municipal elections in the autumn will be to reverse a strong downward trend since the landslide election in 2003. Light rail will bring the party back on the rails.
N12747	Police want to reconstruct the violence that shook the country	Namsos police will complete their investigation next week.
N12748	- Iphone owners are more concerned about status than Android owners	New study reveals that the two main camps have different personalities.
N12749	Choosing safety over trend neighbourhoods	They themselves have lived in metropolitan blocks. But when Irene from Støren and John Erik from Hovin became parents, they packed their bags and went back to the countryside.
N12750	A university cannot be planned	The decision to finally leave Dragvoll enables more concrete discussions about the university city of Trondheim. With inspiration from Oxford, I propose an organic development of the fully integrated NTNU.
N12751	Bjarne's stay on the exotic island became a TV series	"Bjørnøya was everything I had hoped for," says Bjarne Ringstad Olsen.
N12752	Got chestnut wood through the window	This tree could stand for decades according to Trondheim City Operations. 15 months after the inspection, it fell on the house.
N12753	Stole studio equipment for at least NOK 30,000 in Verdal	Bakketun Folk High School thinks it is sad that objects are not left alone.
N12754	"I probably have a bit of a masculine style.	For Trine Lise Helleseng, interior design is about finding the right things that suit her personal style. That's why she started with her wardrobe when she decorated the house.
N12755	Trondheim's largest shopping centre is being built here	City Lade gets as many stores as Sirkus Shopping and larger area than City Syd.
N12756	Where the old shops live	We didn't know they still existed: shops where screws are loose, food is sold over the counter and you get alpeluer from cardboard boxes under the roof. In Steinkjer you will find three, one of them has goods up to the antlers!
N12757	Everything dresses the pretty	Bad weather or not. The Trønders defied the weather gods and showed themselves from their finest side after all.
N12758	Unusually high increase in house prices in November	Prices of resale homes rose 0.4 per cent in Trondheim in November.
N12759	On Monday, Tuesday and Wednesday there are exams	But the guys in Hansbakkfjæra tried to forget that when the temperature was 20 degrees.
N12760	Democracy and reality orientation	The experience of the past decade in the Middle East has shown how much is the basis for successful democracies.
N12761	- Gangs also exist in Trondheim	Does Trondheim have a gang problem among young people? Police believe there are no gangs in the city, but this is disputed by research teams.
N12762	- Not very nice to see pale, hinged ladies	On Monday night, Mona Grudt Bittrick started her search for the perfect body.
N12763	Interdisciplinary focus	Which construction project are you, or your architectural firm most satisfied with? At Asplan Viak, we are committed to including different professions in interdisciplinary projects.
N12764	Former mayor has died	The former Hemne mayor Johan Stølan was 77 years old.
N12765	Berths in the tractor	Dad Morten is a farmer, and made his own dream bed for his son Edmund. When evening comes, the three-year-old crawls up and into his own tractor.
N12766	This weekend, capacity will be increased between Brekstad and Valset	And even more changes are being considered.
N12767	Charming from La Morra	Only a few thousand bottles from Osvaldo Viberti find their way to Norway every year. The reason is simple: He doesn't make an awful lot of wine.
N12768	Prize for new Norwegian gin	Harahorn Small Batch Gin from Det Norske Brenneri in Grimstad recently won a gold medal in the prestigious San Francisco World Spirits Competition.
N12769	Unleash the lids	Create lures á la The Great Gatsby and Hollywood or finish your outfit with a tight ponytail, but remember that wholeness is the most important thing when choosing your Christmas party hairstyle.
N12770	Bottled cloudberries	If you are not among the "lucky ones" who have filled the freezer with self-picked cloudberries, you can find the real taste of real cloudberries also in a bottle.
N12771	Best visited car wash in Trondheim	Last Saturday, 400 cars drove through the washing hall at Hydro Texaco Obs Lade.
N12772	Petter Northug asked him to remove his glasses	From the comfort of his sofa at home in Trondheim, Petter Northug gave business advice to Norway's new cross-country star.
N12773	Benneche's Way	A wealthy and generous trader is appreciated. Endowment founder and wholesaler Hans Andreas Benneche was one of them.
N12774	Here used to stand a Christmas tree from Trondheim	Hamburg is dropping the green, sparkling from Trondheim for the first time in 18 years.
N12775	Three young women want to create billion-dollar companies in Trondheim	All three have developed products that can give Trondheim new billion-dollar companies. This week, entrepreneurs and technology are celebrated during the technology festival Trondheim Playground.
N12776	Cheap omega-3 is best	Big test: The test winner gives four times as much omega-3 as the worst, at one twentieth of the price.
N12777	Golden eagle overrated as sheep slayer	Too many golden eagles are blamed for sheep being killed, according to the Norwegian Ornithological Association (NOF).
N12778	Police stopped parents rushing towards the school	Parents are the ones who most often call for traffic controllers on the way to school. They are also the ones who are caught in police checks, according to the last two school road checks in Trondheim.
N12779	Ajer: "I'll probably be loaned out in January.	The Celtic player hints at what happens in the New Year in a new interview.
N12780	Here's how to cook delicious nigiri!	Here Adrian Katagiri makes nigiri sushi!
